nota,rotulo
A irrigação do setor sul foi concluída conforme o cronograma. Nenhuma anomalia observada.,rotina
Estoque de sementes verificado. Temos reserva suficiente para o próximo plantio.,rotina
A previsão do tempo para amanhã indica geada severa. Proteger culturas sensíveis imediatamente.,urgente
"O nível de umidade no solo no setor leste está perigosamente baixo, irrigação extra é mandatoria.",urgente
Pragas resistentes aos defensivos usuais foram observadas no setor oeste. Mudar o protocolo químico.,urgente
Manutenção preventiva no trator 3 finalizada. Filtros e óleo trocados.,rotina
"O armazenamento de grãos no silo 1 está seco e ventilado, sem sinais de umidade.",rotina
Alerta de segurança: Equipamento caro deixado desprotegido no campo. Recolher imediatamente.,urgente
Vento forte derrubou parte das telas de proteção no viveiro de mudas. Reparo imediato.,urgente
As armadilhas de monitoramento de insetos foram inspecionadas e substituídas.,rotina
"Um dos silos de armazenamento apresentou falha elétrica, risco de superaquecimento dos grãos.",urgente
O drone foi utilizado para mapeamento aéreo da fazenda hoje. Processamento em andamento.,rotina
Agendamento de visita técnica para o consultor na próxima terça-feira confirmado.,rotina
Relatório de solo mostra níveis tóxicos de um mineral na amostra Z. Precisa de neutralização.,urgente
Falta de combustível nas máquinas essenciais para a colheita. Parada de produção iminente.,urgente
Análise foliar do milho indica níveis nutricionais dentro da faixa normal.,rotina
A colheita do setor leste será antecipada em 2 dias devido à previsão de chuva forte.,rotina
Relatório de solo da amostra B indica PH estável. Não são necessários ajustes de calcário.,rotina
Vazamento significativo no sistema principal de irrigação do setor central. Perda de água crítica.,urgente
Registro fotográfico das mudas plantadas no setor sul realizado com sucesso.,rotina
Um animal grande rompeu a cerca e causou danos na plantação jovem do talhão A.,urgente
A qualidade do lote colhido ontem não atende aos padrões. Parar a colheita e investigar a causa.,urgente
Incêndio de pequenas proporções no galpão de ferramentas. Chamar a equipe de emergência.,urgente
Preparação do solo para o plantio da soja iniciada no talhão B.,rotina
Foi detectada uma infestação severa de ferrugem asiática no talhão norte. Ação imediata necessária.,urgente
Foi realizada a contagem manual de pragas no talhão oeste; os níveis estão abaixo do limiar de ação.,rotina
Leitura pluviométrica das últimas 24 horas: 15mm. Ideal para esta fase.,rotina
Reunião com a equipe de campo marcada para amanhã às 7h para discutir a próxima safra.,rotina
O solo na área recém-plantada está compactando muito rapidamente. Requer subsolagem urgente.,urgente
Perda de sinal de GPS no drone. Necessário rastreamento manual imediato.,urgente
Amostras de folhas mostram contaminação viral. Isolar imediatamente a área e descartar plantas.,urgente
A irrigação do setor sul foi concluída conforme o cronograma. Nenhuma anomalia observada.,rotina
Dano estrutural na ponte de acesso ao talhão sul. Caminhões pesados não podem passar.,urgente
Fertilizante Tipo C aplicado em toda a área conforme a recomendação padrão.,rotina
"O nível de água no reservatório principal está em 85%, estável.",rotina
O clima hoje foi de sol pleno e temperatura média de 28°C. Condições ideais.,rotina
Análise de água revelou contaminação bacteriana. Não usar na irrigação até a desinfecção.,urgente
Verificação da cerca da divisa norte concluída. Sem danos.,rotina
O PH do solo no talhão D caiu drasticamente. Correção de acidez deve ser aplicada hoje.,urgente
Verificação da pressão dos pneus dos veículos de campo concluída.,rotina
O sistema de monitoramento detectou falha no sensor principal do silo 2.,urgente
